Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
21,31,26,1,0,80.76,6,bowled,1,v West Indies,Chennai,2011-12-11,https://stats.espncricinfo.com/ci/engine/match/536933.html,267,6,7.865168539325842,W
21,34,21,2,0,100.00,4,caught,2,v Australia,Melbourne,2012-02-05,https://stats.espncricinfo.com/ci/engine/match/518956.html,151,10,13.90728476821192,L
10,29,17,1,0,58.82,4,caught,2,v Sri Lanka,Perth,2012-02-08,https://stats.espncricinfo.com/ci/engine/match/518957.html,234,6,4.273504273504273,W
33,49,41,1,1,80.48,4,caught,2,v Australia,Adelaide,2012-02-12,https://stats.espncricinfo.com/ci/engine/match/518959.html,270,6,12.222222222222221,W
15,30,27,2,0,55.55,4,run out,2,v Sri Lanka,Adelaide,2012-02-14,https://stats.espncricinfo.com/ci/engine/match/518960.html,236,9,6.3559322033898304,L
0,6,5,0,0,0.00,4,caught,2,v Australia,Brisbane,2012-02-19,https://stats.espncricinfo.com/ci/engine/match/518962.html,178,10,0.0,L
4,9,6,0,0,66.66,6,run out,1,v Bangladesh,Mirpur,2012-03-16,https://stats.espncricinfo.com/ci/engine/match/535797.html,289,5,1.384083044982699,L
68,109,83,5,1,81.92,4,caught,2,v Pakistan,Mirpur,2012-03-18,https://stats.espncricinfo.com/ci/engine/match/535798.html,330,4,20.606060606060606,W
5,10,8,0,0,62.50,4,bowled,1,v Sri Lanka,Hambantota,2012-07-21,https://stats.espncricinfo.com/ci/engine/match/564781.html,314,6,1.5923566878980893,W
0,5,5,0,0,0.00,4,bowled,1,v Sri Lanka,Hambantota,2012-07-24,https://stats.espncricinfo.com/ci/engine/match/564782.html,138,10,0.0,L
0,1,1,0,0,0.00,5,lbw,2,v Sri Lanka,Colombo (RPS),2012-07-28,https://stats.espncricinfo.com/ci/engine/match/564783.html,288,5,0.0,W
4,18,14,0,0,28.57,4,lbw,2,v Sri Lanka,Colombo (RPS),2012-07-31,https://stats.espncricinfo.com/ci/engine/match/564784.html,255,4,1.5686274509803921,W
4,12,9,1,0,44.44,4,bowled,1,v Sri Lanka,Pallekele,2012-08-04,https://stats.espncricinfo.com/ci/engine/match/564785.html,294,7,1.3605442176870748,W
4,19,14,0,0,28.57,5,caught,1,v Pakistan,Chennai,2012-12-30,https://stats.espncricinfo.com/ci/engine/match/589308.html,227,6,1.762114537444934,L
83,135,93,11,1,89.24,2,lbw,2,v England,Mohali,2013-01-23,https://stats.espncricinfo.com/ci/engine/match/565815.html,258,5,32.17054263565892,W
4,15,9,1,0,44.44,2,caught,1,v England,Dharamsala,2013-01-27,https://stats.espncricinfo.com/ci/engine/match/565816.html,226,10,1.7699115044247788,L
65,96,81,8,1,80.24,1,caught,1,v South Africa,Cardiff,2013-06-06,https://stats.espncricinfo.com/ci/engine/match/578614.html,331,7,19.637462235649547,W
52,78,56,7,0,92.85,1,caught,2,v West Indies,The Oval,2013-06-11,https://stats.espncricinfo.com/ci/engine/match/578619.html,236,2,22.033898305084744,W
18,54,32,2,0,56.25,1,caught,2,v Pakistan,Birmingham,2013-06-15,https://stats.espncricinfo.com/ci/engine/match/578623.html,102,2,17.647058823529413,W
33,77,50,4,0,66.00,1,bowled,2,v Sri Lanka,Cardiff,2013-06-20,https://stats.espncricinfo.com/ci/engine/match/566947.html,182,2,18.13186813186813,W
9,18,14,1,0,64.28,1,bowled,1,v England,Birmingham,2013-06-23,https://stats.espncricinfo.com/ci/engine/match/566948.html,129,7,6.976744186046512,W
60,129,89,4,1,67.41,1,caught,1,v West Indies,Kingston,2013-06-30,https://stats.espncricinfo.com/ci/engine/match/597924.html,229,7,26.200873362445414,L
5,16,13,0,0,38.46,1,caught,2,v Sri Lanka,Kingston,2013-07-02,https://stats.espncricinfo.com/ci/engine/match/597925.html,187,10,2.6737967914438503,L
46,124,78,5,0,58.97,1,caught,1,v West Indies,Port of Spain,2013-07-05,https://stats.espncricinfo.com/ci/engine/match/597926.html,311,7,14.790996784565916,W
48,126,83,2,1,57.83,1,not out,1,v Sri Lanka,Port of Spain,2013-07-09,https://stats.espncricinfo.com/ci/engine/match/597928.html,119,3,40.33613445378151,W
58,146,89,5,1,65.16,1,bowled,2,v Sri Lanka,Port of Spain,2013-07-11,https://stats.espncricinfo.com/ci/engine/match/597929.html,203,9,28.57142857142857,W
20,57,40,2,0,50.00,1,caught,2,v Zimbabwe,Harare,2013-07-24,https://stats.espncricinfo.com/ci/engine/match/643665.html,230,4,8.695652173913043,W
1,5,7,0,0,14.28,1,caught,1,v Zimbabwe,Harare,2013-07-26,https://stats.espncricinfo.com/ci/engine/match/643667.html,294,8,0.3401360544217687,W
14,27,21,2,0,66.66,1,caught,2,v Zimbabwe,Harare,2013-07-28,https://stats.espncricinfo.com/ci/engine/match/643669.html,187,3,7.4866310160427805,W
64,123,90,5,1,71.11,2,not out,2,v Zimbabwe,Bulawayo,2013-08-01,https://stats.espncricinfo.com/ci/engine/match/643675.html,145,1,44.13793103448276,W
42,62,47,6,0,89.36,2,caught,2,v Australia,Pune,2013-10-13,https://stats.espncricinfo.com/ci/engine/match/647249.html,232,10,18.103448275862068,L
141,195,123,17,4,114.63,1,not out,2,v Australia,Jaipur,2013-10-16,https://stats.espncricinfo.com/ci/engine/match/647251.html,362,1,38.950276243093924,W
11,33,22,2,0,50.00,1,caught,1,v Australia,Mohali,2013-10-19,https://stats.espncricinfo.com/ci/engine/match/647253.html,303,9,3.6303630363036308,L
9,19,13,1,0,69.23,1,not out,2,v Australia,Ranchi,2013-10-23,https://stats.espncricinfo.com/ci/engine/match/647255.html,27,10,33.33333333333333,L
79,119,89,7,3,88.76,1,caught,2,v Australia,Nagpur,2013-10-30,https://stats.espncricinfo.com/ci/engine/match/647259.html,351,4,22.507122507122507,W
209,222,158,12,16,132.27,1,caught,1,v Australia,Bengaluru,2013-11-02,https://stats.espncricinfo.com/ci/engine/match/647261.html,383,6,54.56919060052219,W
72,105,81,8,1,88.88,1,caught,2,v West Indies,Kochi,2013-11-21,https://stats.espncricinfo.com/ci/engine/match/676529.html,212,4,33.9622641509434,W
12,20,19,3,0,63.15,1,caught,1,v West Indies,Visakhapatnam,2013-11-24,https://stats.espncricinfo.com/ci/engine/match/676531.html,288,7,4.166666666666666,L
4,19,14,0,0,28.57,1,caught,2,v West Indies,Kanpur,2013-11-27,https://stats.espncricinfo.com/ci/engine/match/676533.html,266,5,1.5037593984962405,W
18,69,43,2,0,41.86,1,run out,2,v South Africa,Johannesburg,2013-12-05,https://stats.espncricinfo.com/ci/engine/match/648651.html,217,10,8.294930875576037,L
19,34,26,2,0,73.07,1,caught,2,v South Africa,Durban,2013-12-08,https://stats.espncricinfo.com/ci/engine/match/648653.html,146,10,13.013698630136986,L
3,24,23,0,0,13.04,1,caught,2,v New Zealand,Napier,2014-01-19,https://stats.espncricinfo.com/ci/engine/match/667641.html,268,10,1.1194029850746268,L
20,42,34,2,1,58.82,2,caught,2,v New Zealand,Hamilton,2014-01-22,https://stats.espncricinfo.com/ci/engine/match/667643.html,277,9,7.2202166064981945,L
39,65,38,1,4,102.63,1,caught,2,v New Zealand,Auckland,2014-01-25,https://stats.espncricinfo.com/ci/engine/match/667645.html,314,9,12.420382165605096,L
79,131,94,6,4,84.04,1,caught,1,v New Zealand,Hamilton,2014-01-28,https://stats.espncricinfo.com/ci/engine/match/667647.html,278,5,28.41726618705036,L
4,20,13,0,0,30.76,1,caught,2,v New Zealand,Wellington,2014-01-31,https://stats.espncricinfo.com/ci/engine/match/667649.html,216,10,1.8518518518518516,L
21,57,29,1,1,72.41,1,bowled,2,v Bangladesh,Fatullah,2014-02-26,https://stats.espncricinfo.com/ci/engine/match/710293.html,280,4,7.5,W
13,37,28,1,0,46.42,1,lbw,1,v Sri Lanka,Fatullah,2014-02-28,https://stats.espncricinfo.com/ci/engine/match/710297.html,264,9,4.924242424242424,L
56,86,58,7,2,96.55,1,caught,1,v Pakistan,Mirpur,2014-03-02,https://stats.espncricinfo.com/ci/engine/match/710301.html,245,8,22.857142857142858,L
18,36,24,1,0,75.00,3,not out,2,v Afghanistan,Mirpur,2014-03-05,https://stats.espncricinfo.com/ci/engine/match/710307.html,160,2,11.25,W
52,126,87,4,1,59.77,1,caught,1,v England,Cardiff,2014-08-27,https://stats.espncricinfo.com/ci/engine/match/667723.html,304,6,17.105263157894736,W
264,225,173,33,9,152.60,2,caught,1,v Sri Lanka,Eden Gardens,2014-11-13,https://stats.espncricinfo.com/ci/engine/match/792295.html,404,5,65.34653465346535,W
9,18,12,2,0,75.00,2,bowled,2,v Sri Lanka,Ranchi,2014-11-16,https://stats.espncricinfo.com/ci/engine/match/792297.html,288,7,3.125,W
138,228,139,9,4,99.28,1,caught,1,v Australia,Melbourne,2015-01-18,https://stats.espncricinfo.com/ci/engine/match/754749.html,267,8,51.68539325842697,L
15,35,20,2,0,75.00,1,caught,1,v Pakistan,Adelaide,2015-02-15,https://stats.espncricinfo.com/ci/engine/match/656405.html,300,7,5.0,W
0,13,6,0,0,0.00,1,run out,1,v South Africa,Melbourne,2015-02-22,https://stats.espncricinfo.com/ci/engine/match/656423.html,307,7,0.0,W
57,77,55,10,1,103.63,1,not out,2,v U.A.E.,Perth,2015-02-28,https://stats.espncricinfo.com/ci/engine/match/656439.html,104,1,54.807692307692314,W
7,30,18,1,0,38.88,1,caught,2,v West Indies,Perth,2015-03-06,https://stats.espncricinfo.com/ci/engine/match/656453.html,185,6,3.783783783783784,W
