Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
45,48,33,7,1,136.36,2,caught,2,v South Africa,Durban,1997-02-13,https://stats.espncricinfo.com/ci/engine/match/66078.html,234,10,19.230769230769234,L
13,18,15,0,1,86.66,2,caught,1,v Zimbabwe,Bulawayo,1997-02-15,https://stats.espncricinfo.com/ci/engine/match/64537.html,168,10,7.738095238095238,L
44,57,43,10,0,102.32,1,caught,1,v West Indies,Port of Spain,1997-04-26,https://stats.espncricinfo.com/ci/engine/match/64552.html,179,10,24.581005586592177,L
65,111,70,7,0,92.85,1,not out,2,v West Indies,Port of Spain,1997-04-27,https://stats.espncricinfo.com/ci/engine/match/64553.html,116,10,56.03448275862068,W
9,22,15,1,0,60.00,1,bowled,2,v West Indies,Kingstown,1997-04-30,https://stats.espncricinfo.com/ci/engine/match/64554.html,231,10,3.896103896103896,L
1,17,11,0,0,9.09,1,caught,1,v West Indies,Bridgetown,1997-05-03,https://stats.espncricinfo.com/ci/engine/match/64555.html,199,7,0.5025125628140703,L
117,188,137,13,2,85.40,2,bowled,2,v New Zealand,Bengaluru,1997-05-14,https://stats.espncricinfo.com/ci/engine/match/66110.html,221,2,52.94117647058824,W
2,19,4,0,0,50.00,2,caught,1,v Sri Lanka,Wankhede,1997-05-17,https://stats.espncricinfo.com/ci/engine/match/66111.html,225,7,0.8888888888888888,L
4,10,7,1,0,57.14,1,caught,2,v Pakistan,Chennai,1997-05-21,https://stats.espncricinfo.com/ci/engine/match/66113.html,292,10,1.36986301369863,L
21,49,28,3,0,75.00,1,bowled,1,v Sri Lanka,Colombo (RPS),1997-07-18,https://stats.espncricinfo.com/ci/engine/match/65694.html,227,6,9.251101321585903,L
28,36,21,5,0,133.33,2,bowled,2,v Bangladesh,Colombo (SSC),1997-07-24,https://stats.espncricinfo.com/ci/engine/match/65697.html,132,1,21.21212121212121,W
53,109,67,2,0,79.10,4,caught,1,v Sri Lanka,Colombo (RPS),1997-07-26,https://stats.espncricinfo.com/ci/engine/match/65698.html,239,7,22.17573221757322,L
27,55,28,3,0,96.42,1,caught,2,v Sri Lanka,Colombo (RPS),1997-08-17,https://stats.espncricinfo.com/ci/engine/match/64557.html,300,7,9.0,L
6,4,6,1,0,100.00,1,lbw,1,v Sri Lanka,Colombo (RPS),1997-08-20,https://stats.espncricinfo.com/ci/engine/match/64558.html,238,10,2.5210084033613445,L
27,47,31,4,0,87.09,2,caught,1,v Sri Lanka,Colombo (SSC),1997-08-23,https://stats.espncricinfo.com/ci/engine/match/64559.html,291,9,9.278350515463918,L
39,41,32,3,2,121.87,1,caught,2,v Sri Lanka,Colombo (SSC),1997-08-24,https://stats.espncricinfo.com/ci/engine/match/64560.html,255,8,15.294117647058824,L
17,82,54,2,0,31.48,1,caught,1,v Pakistan,Toronto,1997-09-13,https://stats.espncricinfo.com/ci/engine/match/66035.html,208,10,8.173076923076923,W
25,66,45,3,0,55.55,4,not out,2,v Pakistan,Toronto,1997-09-14,https://stats.espncricinfo.com/ci/engine/match/66036.html,117,3,21.367521367521366,W
0,26,10,0,0,0.00,4,caught,1,v Pakistan,Toronto,1997-09-18,https://stats.espncricinfo.com/ci/engine/match/66038.html,182,6,0.0,W
6,10,7,1,0,85.71,1,caught,2,v Pakistan,Toronto,1997-09-20,https://stats.espncricinfo.com/ci/engine/match/66039.html,162,3,3.7037037037037033,W
51,106,64,4,1,79.68,1,lbw,1,v Pakistan,Toronto,1997-09-21,https://stats.espncricinfo.com/ci/engine/match/66040.html,250,5,20.4,L
2,17,11,0,0,18.18,1,bowled,1,v Pakistan,Hyderabad (Sind),1997-09-28,https://stats.espncricinfo.com/ci/engine/match/64561.html,170,10,1.1764705882352942,L
21,24,18,2,1,116.66,1,caught,2,v Pakistan,Karachi,1997-09-30,https://stats.espncricinfo.com/ci/engine/match/64562.html,266,6,7.894736842105263,W
7,19,11,1,0,63.63,1,caught,1,v Pakistan,Lahore,1997-10-02,https://stats.espncricinfo.com/ci/engine/match/64564.html,216,10,3.2407407407407405,L
91,146,87,4,2,104.59,4,stumped,2,v England,Sharjah,1997-12-11,https://stats.espncricinfo.com/ci/engine/match/65873.html,243,10,37.4485596707819,L
3,4,4,0,0,75.00,5,caught,1,v Pakistan,Sharjah,1997-12-14,https://stats.espncricinfo.com/ci/engine/match/65876.html,239,7,1.2552301255230125,L
1,3,2,0,0,50.00,4,run out,2,v West Indies,Sharjah,1997-12-16,https://stats.espncricinfo.com/ci/engine/match/65878.html,188,10,0.5319148936170213,L
82,110,86,6,0,95.34,4,not out,2,v Sri Lanka,Guwahati,1997-12-22,https://stats.espncricinfo.com/ci/engine/match/64567.html,173,3,47.398843930635834,W
