Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
2,-,13,0,0,15.38,5,caught,2,v Pakistan,Toronto,1996-09-23,https://stats.espncricinfo.com/ci/engine/match/66034.html,161,10,1.2422360248447204
32,60,55,3,0,58.18,4,caught,2,v South Africa,Hyderabad (Deccan),1996-10-17,https://stats.espncricinfo.com/ci/engine/match/66059.html,214,10,14.953271028037381
1,3,3,0,0,33.33,4,lbw,2,v Australia,Bengaluru,1996-10-21,https://stats.espncricinfo.com/ci/engine/match/66061.html,216,8,0.4629629629629629
56,91,60,5,0,93.33,4,not out,2,v South Africa,Jaipur,1996-10-23,https://stats.espncricinfo.com/ci/engine/match/66062.html,222,7,25.225225225225223
9,21,23,0,0,39.13,5,caught,1,v South Africa,Rajkot,1996-10-29,https://stats.espncricinfo.com/ci/engine/match/66064.html,185,10,4.864864864864865
94,-,104,4,2,90.38,4,caught,1,v Australia,Mohali,1996-11-03,https://stats.espncricinfo.com/ci/engine/match/66066.html,289,6,32.52595155709342
26,46,40,2,0,65.00,4,caught,1,v South Africa,Wankhede,1996-11-06,https://stats.espncricinfo.com/ci/engine/match/66067.html,220,7,11.818181818181818
22,43,34,1,0,64.70,3,caught,1,v South Africa,Wankhede,1996-12-14,https://stats.espncricinfo.com/ci/engine/match/64533.html,267,6,8.239700374531834
52,101,59,2,1,88.13,4,bowled,2,v South Africa,Bloemfontein,1997-01-23,https://stats.espncricinfo.com/ci/engine/match/66068.html,231,10,22.51082251082251
6,15,9,0,0,66.66,4,bowled,2,v Zimbabwe,Paarl,1997-01-27,https://stats.espncricinfo.com/ci/engine/match/66070.html,236,10,2.5423728813559325
57,122,93,3,0,61.29,5,caught,1,v South Africa,Gqeberha,1997-02-02,https://stats.espncricinfo.com/ci/engine/match/66073.html,179,9,31.843575418994412
13,15,12,2,0,108.33,4,bowled,1,v South Africa,East London,1997-02-04,https://stats.espncricinfo.com/ci/engine/match/66074.html,232,5,5.603448275862069
