Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
63,106,77,8,0,81.81,4,caught,2,v Pakistan,Guwahati,2007-11-05,https://stats.espncricinfo.com/ci/engine/match/297801.html,242,5,26.033057851239672,W
4,24,10,0,0,40.00,6,caught,1,v Pakistan,Mohali,2007-11-08,https://stats.espncricinfo.com/ci/engine/match/297802.html,321,9,1.2461059190031152,L
49,61,52,4,2,94.23,5,bowled,1,v Pakistan,Kanpur,2007-11-11,https://stats.espncricinfo.com/ci/engine/match/297803.html,294,6,16.666666666666664,W
45,72,45,3,1,100.00,6,not out,2,v Pakistan,Gwalior,2007-11-15,https://stats.espncricinfo.com/ci/engine/match/297804.html,260,4,17.307692307692307,W
24,53,32,1,0,75.00,7,caught,2,v Pakistan,Jaipur,2007-11-18,https://stats.espncricinfo.com/ci/engine/match/297805.html,275,10,8.727272727272728,L
37,102,61,1,0,60.65,6,caught,1,v Australia,Brisbane,2008-02-03,https://stats.espncricinfo.com/ci/engine/match/291359.html,194,10,19.072164948453608,L
88,124,95,5,1,92.63,6,not out,1,v Sri Lanka,Brisbane,2008-02-05,https://stats.espncricinfo.com/ci/engine/match/291360.html,267,4,32.958801498127336,L
17,72,54,0,0,31.48,7,not out,2,v Australia,Melbourne,2008-02-10,https://stats.espncricinfo.com/ci/engine/match/291362.html,160,5,10.625,W
31,33,26,3,0,119.23,5,run out,1,v Sri Lanka,Canberra,2008-02-12,https://stats.espncricinfo.com/ci/engine/match/291363.html,195,5,15.897435897435896,L
37,97,50,1,0,74.00,6,run out,2,v Australia,Adelaide,2008-02-17,https://stats.espncricinfo.com/ci/engine/match/291365.html,153,10,24.18300653594771,L
50,140,68,0,0,73.52,6,not out,2,v Sri Lanka,Adelaide,2008-02-19,https://stats.espncricinfo.com/ci/engine/match/291366.html,239,8,20.920502092050206,W
36,84,66,4,0,54.54,6,caught,2,v Australia,Sydney,2008-02-24,https://stats.espncricinfo.com/ci/engine/match/291368.html,299,10,12.040133779264215,L
15,21,12,3,0,125.00,6,not out,2,v Australia,Sydney,2008-03-02,https://stats.espncricinfo.com/ci/engine/match/291371.html,242,4,6.198347107438017,W
