Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
8,29,26,0,0,30.76,5,bowled,2,v Sri Lanka,The Oval,2002-06-30,https://stats.espncricinfo.com/ci/engine/match/66285.html,203,6,3.9408866995073892
82,130,117,7,0,70.08,5,caught,1,v England,Chester-le-Street,2002-07-04,https://stats.espncricinfo.com/ci/engine/match/66287.html,285,4,28.771929824561404
64,144,95,5,1,67.36,5,run out,2,v Sri Lanka,Birmingham,2002-07-06,https://stats.espncricinfo.com/ci/engine/match/66288.html,188,6,34.04255319148936
13,20,16,1,0,81.25,5,lbw,1,v Sri Lanka,Bristol,2002-07-11,https://stats.espncricinfo.com/ci/engine/match/66291.html,304,10,4.276315789473684
5,8,12,0,0,41.66,5,caught,2,v England,Lord's,2002-07-13,https://stats.espncricinfo.com/ci/engine/match/66292.html,326,8,1.5337423312883436
71,108,81,6,0,87.65,5,run out,1,v Zimbabwe,Colombo (RPS),2002-09-14,https://stats.espncricinfo.com/ci/engine/match/66182.html,288,6,24.65277777777778
49,82,67,2,0,73.13,5,lbw,1,v South Africa,Colombo (RPS),2002-09-25,https://stats.espncricinfo.com/ci/engine/match/66192.html,261,9,18.773946360153257
46,82,42,2,0,109.52,5,not out,1,v West Indies,Jamshedpur,2002-11-06,https://stats.espncricinfo.com/ci/engine/match/64785.html,283,6,16.25441696113074
51,63,42,6,0,121.42,6,run out,1,v West Indies,Nagpur,2002-11-09,https://stats.espncricinfo.com/ci/engine/match/64786.html,279,9,18.27956989247312
109,201,124,8,0,87.90,4,not out,2,v West Indies,Ahmedabad,2002-11-15,https://stats.espncricinfo.com/ci/engine/match/64788.html,325,5,33.53846153846154
