Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
14,10,10,3,0,140.00,1,bowled,1,v Sri Lanka,Dambulla,2005-07-30,https://stats.espncricinfo.com/ci/engine/match/214634.html,205,9,6.829268292682928
2,6,2,0,0,100.00,2,caught,2,v West Indies,Dambulla,2005-07-31,https://stats.espncricinfo.com/ci/engine/match/214742.html,180,4,1.1111111111111112
32,70,39,5,0,82.05,1,bowled,1,v Sri Lanka,Dambulla,2005-08-03,https://stats.espncricinfo.com/ci/engine/match/214921.html,220,8,14.545454545454545
6,43,23,0,0,26.08,2,lbw,1,v West Indies,Colombo (RPS),2005-08-07,https://stats.espncricinfo.com/ci/engine/match/215286.html,262,4,2.2900763358778624
48,31,22,9,1,218.18,2,bowled,2,v Sri Lanka,Colombo (RPS),2005-08-09,https://stats.espncricinfo.com/ci/engine/match/215449.html,263,9,18.250950570342205
21,44,26,5,0,80.76,2,caught,2,v Africa XI,Centurion,2005-08-17,https://stats.espncricinfo.com/ci/engine/match/216271.html,196,10,10.714285714285714
38,78,51,4,1,74.50,1,caught,1,v Africa XI,Durban,2005-08-20,https://stats.espncricinfo.com/ci/engine/match/216591.html,267,7,14.232209737827715
5,8,5,1,0,100.00,1,bowled,2,v Africa XI,Durban,2005-08-21,https://stats.espncricinfo.com/ci/engine/match/216669.html,8,2,62.5
15,50,22,2,0,68.18,2,caught,2,v New Zealand,Bulawayo,2005-08-26,https://stats.espncricinfo.com/ci/engine/match/217116.html,164,10,9.146341463414634
45,-,34,6,0,132.35,1,bowled,2,v New Zealand,Harare,2005-09-02,https://stats.espncricinfo.com/ci/engine/match/217811.html,279,4,16.129032258064516
12,11,13,2,0,92.30,1,bowled,2,v Zimbabwe,Harare,2005-09-04,https://stats.espncricinfo.com/ci/engine/match/217979.html,255,6,4.705882352941177
75,105,65,12,1,115.38,1,caught,1,v New Zealand,Harare,2005-09-06,https://stats.espncricinfo.com/ci/engine/match/218250.html,276,10,27.173913043478258
6,22,10,0,0,60.00,2,caught,2,v Australia,Melbourne (Docklands),2005-10-05,https://stats.espncricinfo.com/ci/engine/match/220935.html,162,10,3.7037037037037033
21,17,15,4,0,140.00,2,caught,2,v Australia,Melbourne (Docklands),2005-10-07,https://stats.espncricinfo.com/ci/engine/match/221083.html,273,10,7.6923076923076925
37,89,40,4,1,92.50,2,run out,2,v Australia,Melbourne (Docklands),2005-10-09,https://stats.espncricinfo.com/ci/engine/match/221337.html,137,10,27.00729927007299
20,32,25,4,0,80.00,1,caught,1,v Sri Lanka,Nagpur,2005-10-25,https://stats.espncricinfo.com/ci/engine/match/223018.html,350,6,5.714285714285714
38,46,29,5,1,131.03,1,caught,2,v Sri Lanka,Mohali,2005-10-28,https://stats.espncricinfo.com/ci/engine/match/223334.html,123,2,30.89430894308943
39,67,37,3,0,105.40,1,lbw,2,v Sri Lanka,Jaipur,2005-10-31,https://stats.espncricinfo.com/ci/engine/match/223634.html,303,4,12.871287128712872
48,95,58,7,0,82.75,1,caught,2,v Sri Lanka,Pune,2005-11-03,https://stats.espncricinfo.com/ci/engine/match/223902.html,262,6,18.3206106870229
19,35,19,1,0,100.00,2,bowled,1,v Sri Lanka,Ahmedabad,2005-11-06,https://stats.espncricinfo.com/ci/engine/match/224231.html,285,8,6.666666666666667
22,45,22,4,0,100.00,3,caught,2,v Sri Lanka,Rajkot,2005-11-09,https://stats.espncricinfo.com/ci/engine/match/224556.html,197,3,11.16751269035533
35,35,24,6,0,145.83,1,caught,2,v Sri Lanka,Vadodara,2005-11-12,https://stats.espncricinfo.com/ci/engine/match/225437.html,245,5,14.285714285714285
1,6,4,0,0,25.00,1,caught,1,v South Africa,Hyderabad,2005-11-16,https://stats.espncricinfo.com/ci/engine/match/225959.html,249,9,0.4016064257028112
77,89,62,11,0,124.19,4,not out,2,v South Africa,Bengaluru,2005-11-19,https://stats.espncricinfo.com/ci/engine/match/226315.html,171,4,45.02923976608187
30,31,21,6,0,142.85,4,caught,1,v South Africa,Eden Gardens,2005-11-25,https://stats.espncricinfo.com/ci/engine/match/226358.html,188,10,15.957446808510639
27,24,20,4,1,135.00,3,lbw,2,v South Africa,Wankhede,2005-11-28,https://stats.espncricinfo.com/ci/engine/match/226359.html,224,5,12.053571428571429
5,5,6,1,0,83.33,1,caught,1,v Pakistan,Peshawar,2006-02-06,https://stats.espncricinfo.com/ci/engine/match/235831.html,328,10,1.524390243902439
67,83,60,10,1,111.66,1,run out,2,v Pakistan,Rawalpindi,2006-02-11,https://stats.espncricinfo.com/ci/engine/match/236520.html,266,3,25.18796992481203
7,12,8,1,0,87.50,2,caught,1,v England,Delhi,2006-03-28,https://stats.espncricinfo.com/ci/engine/match/238188.html,203,10,3.4482758620689653
26,63,45,4,0,57.77,1,bowled,2,v England,Faridabad,2006-03-31,https://stats.espncricinfo.com/ci/engine/match/238189.html,230,6,11.304347826086957
15,27,26,2,0,57.69,1,bowled,1,v England,Margao,2006-04-03,https://stats.espncricinfo.com/ci/engine/match/238190.html,294,6,5.1020408163265305
26,47,33,4,0,78.78,1,caught,2,v England,Kochi,2006-04-06,https://stats.espncricinfo.com/ci/engine/match/238191.html,238,6,10.92436974789916
4,2,5,1,0,80.00,1,caught,1,v England,Jamshedpur,2006-04-12,https://stats.espncricinfo.com/ci/engine/match/238193.html,223,10,1.7937219730941705
73,116,83,10,1,87.95,1,bowled,1,v Pakistan,Abu Dhabi,2006-04-19,https://stats.espncricinfo.com/ci/engine/match/244511.html,269,5,27.137546468401485
22,51,32,3,0,68.75,1,run out,2,v West Indies,Kingston,2006-05-18,https://stats.espncricinfo.com/ci/engine/match/239915.html,254,5,8.661417322834646
12,27,19,1,0,63.15,2,caught,2,v West Indies,Kingston,2006-05-20,https://stats.espncricinfo.com/ci/engine/match/239916.html,197,10,6.091370558375635
97,-,83,9,3,116.86,1,lbw,1,v West Indies,Basseterre,2006-05-23,https://stats.espncricinfo.com/ci/engine/match/239917.html,245,9,39.59183673469388
11,-,11,2,0,100.00,1,caught,1,v West Indies,Port of Spain,2006-05-26,https://stats.espncricinfo.com/ci/engine/match/239918.html,217,7,5.0691244239631335
95,-,103,10,1,92.23,2,caught,2,v West Indies,Port of Spain,2006-05-28,https://stats.espncricinfo.com/ci/engine/match/239919.html,236,10,40.25423728813559
9,10,10,0,1,90.00,4,bowled,1,v West Indies,Kuala Lumpur,2006-09-14,https://stats.espncricinfo.com/ci/engine/match/256607.html,309,5,2.912621359223301
8,6,5,0,1,160.00,4,run out,2,v Australia,Kuala Lumpur,2006-09-16,https://stats.espncricinfo.com/ci/engine/match/256608.html,35,5,22.857142857142858
1,8,6,0,0,16.66,3,bowled,1,v West Indies,Kuala Lumpur,2006-09-20,https://stats.espncricinfo.com/ci/engine/match/256612.html,162,10,0.6172839506172839
10,24,11,0,0,90.90,1,bowled,2,v Australia,Kuala Lumpur,2006-09-22,https://stats.espncricinfo.com/ci/engine/match/256614.html,195,10,5.128205128205128
9,7,4,2,0,225.00,1,caught,2,v England,Jaipur,2006-10-15,https://stats.espncricinfo.com/ci/engine/match/249745.html,126,6,7.142857142857142
17,21,20,3,0,85.00,1,lbw,1,v West Indies,Ahmedabad,2006-10-26,https://stats.espncricinfo.com/ci/engine/match/249753.html,223,9,7.623318385650224
65,136,90,9,0,72.22,1,lbw,1,v Australia,Mohali,2006-10-29,https://stats.espncricinfo.com/ci/engine/match/249756.html,249,8,26.104417670682732
0,2,4,0,0,0.00,1,caught,2,v South Africa,Cape Town,2006-11-26,https://stats.espncricinfo.com/ci/engine/match/249212.html,168,10,0.0
18,38,22,3,0,81.81,2,caught,2,v South Africa,Gqeberha,2006-11-29,https://stats.espncricinfo.com/ci/engine/match/249213.html,163,10,11.042944785276074
11,27,22,2,0,50.00,1,caught,1,v South Africa,Centurion,2006-12-03,https://stats.espncricinfo.com/ci/engine/match/249214.html,200,9,5.5
19,16,23,3,0,82.60,5,caught,2,v Sri Lanka,Rajkot,2007-02-11,https://stats.espncricinfo.com/ci/engine/match/267712.html,252,9,7.5396825396825395
12,12,9,3,0,133.33,2,caught,2,v Sri Lanka,Margao,2007-02-14,https://stats.espncricinfo.com/ci/engine/match/267715.html,233,5,5.150214592274678
46,82,44,7,0,104.54,1,run out,2,v Sri Lanka,Visakhapatnam,2007-02-17,https://stats.espncricinfo.com/ci/engine/match/267713.html,263,3,17.490494296577946
2,12,6,0,0,33.33,2,bowled,1,v Bangladesh,Port of Spain,2007-03-17,https://stats.espncricinfo.com/ci/engine/match/247464.html,191,10,1.0471204188481675
114,127,87,17,3,131.03,3,caught,1,v Bermuda,Port of Spain,2007-03-19,https://stats.espncricinfo.com/ci/engine/match/247468.html,413,5,27.602905569007262
48,79,46,5,1,104.34,3,caught,2,v Sri Lanka,Port of Spain,2007-03-23,https://stats.espncricinfo.com/ci/engine/match/247476.html,185,10,25.945945945945947
30,38,21,7,0,142.85,2,caught,2,v Bangladesh,Mirpur,2007-05-10,https://stats.espncricinfo.com/ci/engine/match/282688.html,251,5,11.952191235059761
21,34,26,1,1,80.76,1,caught,1,v Bangladesh,Mirpur,2007-05-12,https://stats.espncricinfo.com/ci/engine/match/282689.html,284,8,7.394366197183098
45,64,42,7,1,107.14,2,bowled,1,v Africa XI,Bengaluru,2007-06-06,https://stats.espncricinfo.com/ci/engine/match/289107.html,317,9,14.195583596214512
52,60,38,8,1,136.84,1,caught,1,v Africa XI,Chennai,2007-06-09,https://stats.espncricinfo.com/ci/engine/match/289108.html,337,7,15.43026706231454
8,12,8,2,0,100.00,1,caught,1,v Africa XI,Chennai,2007-06-10,https://stats.espncricinfo.com/ci/engine/match/289110.html,331,8,2.416918429003021
25,48,31,1,0,80.64,4,bowled,1,v Pakistan,Mohali,2007-11-08,https://stats.espncricinfo.com/ci/engine/match/297802.html,321,9,7.78816199376947
